metadata,Citation,URL,Number of Data Points
pomacentridae_Frederich_et_al_2013,"FrÇdÇrich, B., Sorenson, L., Santini, F., Slater, G. J., & Alfaro, M. E. (2013). Iterative ecological radiation and convergence during the evolutionary history of damselfishes (Pomacentridae). The American Naturalist, 181(1), 94?113. ",https://doi.org/10.1086/668599,85
pomacentridae_McCord_et_al_2021,"McCord, C. L., Nash, C. M., Cooper, W. J., & Westneat, M. W. (2021). Phylogeny of the damselfishes (Pomacentridae) and patterns of asymmetrical diversification in body size and feeding ecology. PLoS One, 16(10), e0258889. ",https://doi.org/10.1371/journal.pone.0258889,86
psyllidae_Burrows_2012,"Burrows, M. (2012). Jumping mechanisms in jumping plant lice (Hemiptera, Sternorrhyncha, Psyllidae). Journal of Experimental Biology, 215(20), 3612?3621. ",https://doi.org/10.1242/jeb.074682,1
reptilia_Feldman_et_al_2015,"Feldman, A., Sabath, N., Pyron, R. A., Mayrose, I., & Meiri, S. (2016). Body sizes and diversification rates of lizards, snakes, amphisbaenians and the tuatara. Global Ecology and Biogeography, 25(2), 187?197. ",https://doi.org/10.1111/geb.12398,781
reptilia_Meiri_et_al_2018,"Meiri, S. (2018). Traits of lizards of the world: Variation around a successful evolutionary design. Global Ecology and Biogeography, 27(10), 1168?1172. ",https://doi.org/10.1111/geb.12773,507
satyrinae_Garcia-Barros_1994,"Garcia-Barros, E. (1994). Egg size variation in European satyrine butterflies (Nymphalidae, Satyrinae). Biological Journal of the Linnean Society, 51(3), 309?324. ",https://doi.org/10.1111/j.1095-8312.1994.tb00964.x,104
scarabaeidae_Davis_1996,"Davis, A. (1996). Community organization of dung beetles (Coleoptera: Scarabaeidae): Differences in body size and functional group structure between habitats. African Journal of Ecology, 34(3), 258?275. ",https://doi.org/10.1111/j.1365-2028.1996.tb00621.x,2
scarabaeidae_Griffiths_et_al_2016,"Griffiths, H. M., Louzada, J., Bardgett, R. D., & Barlow, J. (2016). Assessing the importance of intraspecific variability in dung beetle functional traits. PloS One, 11(3), e0145598. ",https://doi.org/10.1371/journal.pone.0145598,3
scarabaeidae_Noriega_et_al_2021,"Noriega, J. A., March-Salas, M., Castillo, S., Garc°a-Q, H., Hortal, J., & Santos, A. M. (2021). Human perturbations reduce dung beetle diversity and dung removal ecosystem function. Biotropica, 53(3), 753?766. ",https://doi.org/10.1111/btp.12953,19
scarabaeidae_Verdu_et_al_2006,"Verd£, J., Arellano, L., & Numa, C. (2006). Thermoregulation in endothermic dung beetles (Coleoptera: Scarabaeidae): Effect of body size and ecophysiological constraints in flight. Journal of Insect Physiology, 52(8), 854?860. ",https://doi.org/10.1016/j.jinsphys.2006.05.005,2
scaridae_Shimose_et_al_2019,"Shimose, T., Kanaiwa, M., & Nanami, A. (2019). Influence of the flesh quality and body size on the auction price of parrotfishes (Scaridae) at tropical island, southern Japan: Implications for fisheries management. Regional Studies in Marine Science, 25, 100489. ",https://doi.org/10.1016/j.rsma.2018.100489,20
scarinae_Hoey_2018,"Hoey, A. S. (2018). Feeding in parrotfishes: The influence of species, body size, and temperature. In Biology of parrotfishes (pp. 119?133). CRC Press. ",https://www.taylorfrancis.com/chapters/edit/10.1201/9781315118079-6/feeding-parrotfishes-influence-species-body-size-temperature-andrew-hoey,26
silphidae_Collard_et_al_2020,"Collard, A. E., Wettlaufer, J. D., Burke, K. W., Beresford, D. V., & Martin, P. R. (2021). Body size variation in a guild of carrion beetles. Canadian Journal of Zoology, 99(2), 117?129. ",https://doi.org/10.1139/cjz-2020-0171,9
sphingidae_Beerli_et_al_2019,"Beerli, N., BÑrtschi, F., Ballesteros-Mejia, L., Kitching, I. J., & Beck, J. (2019). How has the environment shaped geographical patterns of insect body sizes? A test of hypotheses using sphingid moths. Journal of Biogeography, 46(8), 1687?1698. ",https://doi.org/10.1111/jbi.13583,69
sphingidae_Mungee_and_Athreya_2021,"Mungee, M., & Athreya, R. (2021). Intraspecific trait variability and community assembly in hawkmoths (Lepidoptera: Sphingidae) across an elevational gradient in the eastern Himalayas, India. Ecology and Evolution, 11(6), 2471?2487. ",https://doi.org/10.1002/ece3.7054,6
staphylinidae_Hansen_et_al_2018,"Hansen, A. K., Justesen, M. J., Kepfer-Rojas, S., Byriel, D. B., Pedersen, J., Solodovnikov, A., & others. (2018). Ecogeographic patterns in a mainland-island system in Northern Europe as inferred from the rove beetles (Coleoptera: Staphylinidae) on Lës? island. EJE, 115(1), 256?263. ",https://www.doi.org/10.14411/eje.2018.025,332
syrphidae_Bugg_et_al_2008,"Bugg, R. L., Colfer, R. G., Chaney, W. E., Smith, H. A., & Cannon, J. (2008). Flower flies (Syrphidae) and other biological control agents for aphids in vegetable crops. ",https://doi.org/10.3733/ucanr.8285,16
syrphidae_Hallmann_et_al_2021,"Hallmann, C. A., Ssymank, A., Sorg, M., de Kroon, H., & Jongejans, E. (2021). Insect biomass decline scaled to species diversity: General patterns derived from a hoverfly community. Proceedings of the National Academy of Sciences, 118(2), e2002554117. ",https://doi.org/10.1073/pnas.2002554117,230
syrphidae_Klecka_et_al_2018,"Klecka, J., Hadrava, J., Biella, P., & Akter, A. (2018). Flower visitation by hoverflies (Diptera: Syrphidae) in a temperate plant-pollinator network. PeerJ, 6, e6025. ",https://doi.org/10.7717/peerj.6025,113
syrphidae_Leavey_et_al_2021,"Leavey, A., Taylor, C. H., Symonds, M. R., Gilbert, F., & Reader, T. (2021). Mapping the evolution of accurate Batesian mimicry of social wasps in hoverflies. Evolution, 75(11), 2802?2815. ",https://doi.org/10.1111/evo.14336,185
syrphidae_Miller_et_al_2013,"Miller, N., Al-Dobai, S., Legaspi, J., & Sivinski, J. (2013). Estimating attraction of Syrphidae (Diptera) to flowering plants with interception traps. Biocontrol Science and Technology, 23(9), 1040?1052. ",https://doi.org/10.1080/09583157.2013.813907,22
tenebrionidae_Fattorini_et_al_2013,"Fattorini, S., Sciotti, A., Tratzi, P., & Di Giulio, A. (2013). Species distribution, ecology, abundance, body size and phylogeny originate interrelated rarity patterns at regional scale. Journal of Zoological Systematics and Evolutionary Research, 51(4), 279?286. ",https://doi.org/10.1111/jzs.12026,9
tetraodontiformes_Santini_et_al_2013,"Santini, F., Sorenson, L., & Alfaro, M. E. (2013). A new multi-locus timescale reveals the evolutionary basis of diversity patterns in triggerfishes and filefishes (Balistidae, Monacanthidae; Tetraodontiformes). Molecular Phylogenetics and Evolution, 69(1), 165?176. ",https://doi.org/10.1016/j.ympev.2013.05.015,41
thysanoptera_manual_addition_unpublished,"Clarke, G. M., Gross, S., Matthews, M., Catling, P. C., Baker, B., Hewitt, C. L., Crowther, D., & Saddler, S. R. (2000). Environmental Pest Species in Australia, Australia: State of the Environment, Second Technical Paper Series (Biodiversity), Department of the Environment and Heritage, Canberra. ",http://hdl.handle.net/102.100.100/203987?index=1,1
tortricidae_Miller_1990,"Miller, W. E. & others. (1990). Body size and diet quality in the genus Cydia (Tortricidae). Journal of the Lepidopterists? Society, 44(3), 113?142.",https://www.cabdirect.org/cabdirect/abstract/19911152117,13
trichoptera_Jannot_2000,"Jannot, J. E. (2000). Body size, sexual dimorphism and allometry in adult Hydropsychidae (Trichoptera) [PhD Thesis, Montana State University-Bozeman, College of Letters & Science]. ",https://scholarworks.montana.edu/xmlui/bitstream/handle/1/8022/31762103388060.pdf?sequence=1,4
vespidae_Bissessarsingh_and_Starr_2021,"Bissessarsingh, M., & Starr, C. K. (2021). Comparative Morphology of the Stinger in Social Wasps (Hymenoptera: Vespidae). Insects, 12(8), 729. ",https://doi.org/10.3390/insects12080729,80
vespidae_Brito_et_al_2020,"Brito, E., S†, C., & Santos, G. (2020). Body size and its relation to the foraging schedules of social wasps. Neotropical Entomology, 49, 668?676. ",https://doi.org/10.1007/s13744-020-00789-4,1
zygentoma_Baltanas_et_al_2012,"Baltan†s, R. M., Ricart, M. G., & de Roca, C. B. (2012). New data for a revision of the genus Ctenolepisma (Zygentoma: Lepismatidae): Redescription of Ctenolepisma lineata and new status for Ctenolepisma nicoletii. Annales de La Socie? Te? Entomologique de France. (Vol. 48, No. 1-2, pp. 66-80). Taylor & Francis Group.",https://doi.org/10.1080/00379271.2012.10697753,1
zygentoma_manual_addition_unpublished,"Aak, A., Rukke, B. A., Ottesen, P. S., & Hage, M. (2019). Long-tailed silverfish (Ctenolepisma longicaudata) ? biology and control. Norwegian Institute of Public Health. ",https://www.fhi.no/globalassets/dokumenterfiler/rapporter/2019/long-tailed-silverfish-ctenolepisma-longicaudata---biology-and-control.pdf,4
